,id,code,is_true,format_code,errorline
0,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
main(){
   char a;
   scanf(""%d"",&a);
   if (a==a-32)
     printf(""The character just entered is not a lowercase letter"");
   else
     printf(""The character just entered is a lowercase letter"");
     }",0.0,"#include<stdio.h>
main(){
   char varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0==varb_0-32)
     printf(""The character just entered is not varb_0 lowercase letter"");
   else
     printf(""The character just entered is varb_0 lowercase letter"");
     }",4
1,2c911d616dd52a5e016de9bd79dc14ab,"#include <stdio.h>
int main()
{
char a;
scanf("""");
if('a'<=a&&a<='z')
printf(""The character just entered is a lowercase letter"");
else
printf("" The character just entered is not a lowercase letter"");
return 0;
}
",0.0,"#include <stdio.h>
int main()
{
char varb_0;
scanf("""");
if('a'<=varb_0&&varb_0<='z')
printf(""The character just entered is varb_0 lowercase letter"");
else
printf("" The character just entered is not varb_0 lowercase letter"");
return 0;
}
",5
2,2c911d616dd52a5e016de9bd79dc14ab,"#include <stdio.h>
int main()
{
    char character,a,z;
    scanf(""%c"",&character);
    if('character'<='z'||character>='a')
      printf(""The character just entered is a lowercase letter"");
    else
      printf(""The character just entered is not a lowercase letter"");
    return 0;



}",0.0,"#include <stdio.h>
int main()
{
    char varb_0,varb_1,varb_2;
    scanf(""%c"",&varb_0);
    if('character'<='z'||varb_0>='a')
      printf(""The varb_0 just entered is varb_1 lowercase letter"");
    else
      printf(""The varb_0 just entered is not varb_1 lowercase letter"");
    return 0;
}",4
3,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
main(){
   char a;
   scanf(""%d"",&a);
   if (a==a+32)
     printf(""The character just entered is not a lowercase letter"");
   else
     printf(""The character just entered is a lowercase letter"");
     }",0.0,"#include<stdio.h>
main(){
   char varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0==varb_0+32)
     printf(""The character just entered is not varb_0 lowercase letter"");
   else
     printf(""The character just entered is varb_0 lowercase letter"");
     }",4
4,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main()
{
char character;
scanf(""%c"",&character);
if(character>='a'&&character<='z');
printf(""the character just entered is a lowercase letter"");
printf(""\nthe character just entered is not a lowercase letter"");

}",0.0,"#include<stdio.h>
int main()
{
char varb_0;
scanf(""%c"",&varb_0);
if(varb_0>='a'&&varb_0<='z');
printf(""the varb_0 just entered is a lowercase letter"");
printf(""\nthe varb_0 just entered is not a lowercase letter"");
}",6
5,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>

int main()

{

    char c;

    scanf(""%c"",&c);

    if((c>='A')&&(c<='Z'))

     printf(""The character just entered is not a lowercase letter"");

    else

     printf(""The character just entered is not a lowercase letter"");

}",0.0,"#include<stdio.h>
int main()
{
    char varb_0;
    scanf(""%c"",&varb_0);
    if((varb_0>='A')&&(varb_0<='Z'))
     printf(""The character just entered is not a lowercase letter"");
    else
     printf(""The character just entered is not a lowercase letter"");
}",7
6,2c911d616dd52a5e016de9bd79dc14ab,"#include <stdio.h>
int main()
{
char a;
scanf(""a"");
if('a'<=a&&a<='z')
printf(""The character just entered is a lowercase letter"");
else
printf("" The character just entered is not a lowercase letter"");
return 0;
}
",0.0,"#include <stdio.h>
int main()
{
char varb_0;
scanf(""a"");
if('a'<=varb_0&&varb_0<='z')
printf(""The character just entered is varb_0 lowercase letter"");
else
printf("" The character just entered is not varb_0 lowercase letter"");
return 0;
}
",4
7,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main()
{  char character;
    scanf(""%c"",&character);
    if('a'<=character||character<='z')
    printf(""The character just entered is a lowercase letter"");
    else
    printf(""The character just entered is not a lowercase letter"");
return 0;
} 
",0.0,"#include<stdio.h>
int main()
{  char varb_0;
    scanf(""%c"",&varb_0);
    if('a'<=varb_0||varb_0<='z')
    printf(""The varb_0 just entered is a lowercase letter"");
    else
    printf(""The varb_0 just entered is not a lowercase letter"");
return 0;
} 
",3
8,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
void main()
{
    char character;
    scanf(""%c"",&character);
    if(character>='a'&&character<='z')
        printf(""The character just entered is a lowercase letter"");
    else
        printf(""The character just ertered is not a lowercase letter"");
}",0.0,"#include<stdio.h>
void main()
{
    char varb_0;
    scanf(""%c"",&varb_0);
    if(varb_0>='a'&&varb_0<='z')
        printf(""The varb_0 just entered is a lowercase letter"");
    else
        printf(""The varb_0 just ertered is not a lowercase letter"");
}",2
9,2c911d616dd52a5e016de9bd79dc14ab,"#include<stdio.h>
int main ()
{
	char a;
	scanf(""%c"",&a);
	if(a>=97 || a<=122)
	printf(""The character just entered is a lowercase letter"");
	else
	printf(""The character just entered is not a lowercase letter"");
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	char varb_0;
	scanf(""%c"",&varb_0);
	if(varb_0>=97 || varb_0<=122)
	printf(""The character just entered is varb_0 lowercase letter"");
	else
	printf(""The character just entered is not varb_0 lowercase letter"");
	return 0;
}",4
